Block Number,Block Timestamp (s),Receipt Time (ms),Delta (ms)
135177415,1745953607,1745953608436,1436
135177416,1745953609,1745953610689,1689
135177417,1745953611,1745953611814,814
135177418,1745953613,1745953614375,1375
135177419,1745953615,1745953616320,1320
135177420,1745953617,1745953618574,1574
135177421,1745953619,1745953620110,1110
135177422,1745953621,1745953622380,1380
135177423,1745953623,1745953623898,898
135177424,1745953625,1745953626153,1153
135177425,1745953627,1745953628264,1264
135177426,1745953629,1745953630452,1452
135177427,1745953631,1745953632356,1356
135177428,1745953633,1745953634650,1650
135177429,1745953635,1745953636699,1699
135177430,1745953637,1745953637928,928
135177431,1745953639,1745953640077,1077
135177432,1745953641,1745953642413,1413
135177433,1745953643,1745953643969,969
135177434,1745953645,1745953645917,917
135177435,1745953647,1745953647860,860
135177436,1745953649,1745953650523,1523
135177437,1745953651,1745953651854,854
135177438,1745953653,1745953654260,1260
135177439,1745953655,1745953656566,1566
135177440,1745953657,1745953658409,1409
135177441,1745953659,1745953660456,1456
135177442,1745953661,1745953663425,2425
135177443,1745953663,1745953664756,1756
135177444,1745953665,1745953665853,853
135177445,1745953667,1745953668388,1388
135177446,1745953669,1745953670455,1455
135177447,1745953671,1745953672231,1231
135177448,1745953673,1745953674159,1159
135177449,1745953675,1745953676328,1328
135177450,1745953677,1745953678580,1580
135177451,1745953679,1745953680628,1628
135177452,1745953681,1745953682267,1267
135177453,1745953683,1745953684213,1213
135177454,1745953685,1745953687286,2286
135177455,1745953687,1745953688235,1235
135177456,1745953689,1745953691380,2380
135177457,1745953691,1745953692491,1491
135177458,1745953693,1745953693907,907
135177459,1745953695,1745953695862,862
135177460,1745953697,1745953697934,934
135177461,1745953699,1745953700084,1084
135177462,1745953701,1745953702121,1121
135177463,1745953703,1745953705206,2206
135177464,1745953705,1745953706126,1126
135177465,1745953707,1745953711759,4759
135177466,1745953709,1745953711979,2979
135177467,1745953711,1745953713397,2397
135177468,1745953713,1745953715041,2041
135177469,1745953715,1745953716174,1174
135177470,1745953717,1745953718108,1108
135177471,1745953719,1745953720872,1872
135177472,1745953721,1745953727528,6528
135177473,1745953723,1745953727769,4769
135177474,1745953725,1745953728041,3041
135177475,1745953727,1745953729473,2473
135177476,1745953729,1745953731190,2190
135177477,1745953731,1745953732088,1088
135177478,1745953733,1745953734184,1184
135177479,1745953735,1745953736092,1092
135177480,1745953737,1745953738133,1133
135177481,1745953739,1745953741556,2556
135177482,1745953741,1745953742375,1375
135177483,1745953743,1745953743809,809
135177484,1745953745,1745953745857,857
135177485,1745953747,1745953747970,970
135177486,1745953749,1745953750085,1085
135177487,1745953751,1745953752110,1110
135177488,1745953753,1745953754135,1135
135177489,1745953755,1745953756201,1201
135177490,1745953757,1745953757838,838
135177491,1745953759,1745953759886,886
135177492,1745953761,1745953762242,1242
135177493,1745953763,1745953765007,2007
135177494,1745953765,1745953766133,1133
135177496,1745953769,1745953771202,2202
135177497,1745953771,1745953772277,1277
135177498,1745953773,1745953773711,711
135177499,1745953775,1745953776291,1291
135177500,1745953777,1745953778114,1114
135177501,1745953779,1745953780809,1809
135177502,1745953781,1745953782044,1044
135177503,1745953783,1745953784088,1088
135177504,1745953785,1745953786130,1130
135177505,1745953787,1745953788114,1114
135177506,1745953789,1745953789975,975
135177507,1745953791,1745953791847,847
135177508,1745953793,1745953793840,840
135177509,1745953795,1745953796136,1136
135177510,1745953797,1745953798240,1240
135177511,1745953799,1745953800233,1233
135177512,1745953801,1745953802159,1159
135177513,1745953803,1745953804021,1021
135177514,1745953805,1745953806171,1171
135177515,1745953807,1745953808022,1022
135177516,1745953809,1745953809906,906
135177517,1745953811,1745953812947,1947
135177518,1745953813,1745953814332,1332
135177519,1745953815,1745953816208,1208
135177520,1745953817,1745953818255,1255
135177521,1745953819,1745953820406,1406
135177522,1745953821,1745953821703,703
135177523,1745953823,1745953823887,887
135177524,1745953825,1745953825919,919
135177525,1745953827,1745953827983,983
135177526,1745953829,1745953830236,1236
135177527,1745953831,1745953832181,1181
135177528,1745953833,1745953834148,1148
135177529,1745953835,1745953836789,1789
135177530,1745953837,1745953838019,1019
135177531,1745953839,1745953840475,1475
135177532,1745953841,1745953842032,1032
135177533,1745953843,1745953844469,1469
135177534,1745953845,1745953845800,800
135177535,1745953847,1745953848054,1054
135177536,1745953849,1745953850206,1206
135177537,1745953851,1745953852409,1409
135177538,1745953853,1745953854826,1826
135177539,1745953855,1745953861263,6263
135177540,1745953857,1745953861571,4571
135177541,1745953859,1745953861808,2808
135177542,1745953861,1745953863310,2310
135177543,1745953863,1745953864540,1540
135177544,1745953865,1745953865758,758
135177545,1745953867,1745953868147,1147
135177546,1745953869,1745953870905,1905
135177547,1745953871,1745953872630,1630
135177548,1745953873,1745953875497,2497
135177549,1745953875,1745953877647,2647
135177550,1745953877,1745953878595,1595
135177551,1745953879,1745953879706,706
135177552,1745953881,1745953881902,902
135177553,1745953883,1745953884714,1714
135177554,1745953885,1745953886864,1864
135177555,1745953887,1745953888092,1092
135177556,1745953889,1745953890652,1652
135177557,1745953891,1745953891906,906
135177558,1745953893,1745953894236,1236
135177559,1745953895,1745953896079,1079
135177560,1745953897,1745953897994,994
135177561,1745953899,1745953900073,1073
135177562,1745953901,1745953902452,1452
135177563,1745953903,1745953903760,760
135177564,1745953905,1745953906115,1115
135177565,1745953907,1745953908265,1265
135177566,1745953909,1745953910415,1415
135177567,1745953911,1745953912315,1315
135177568,1745953913,1745953914307,1307
135177569,1745953915,1745953916457,1457
135177570,1745953917,1745953918402,1402
135177571,1745953919,1745953919939,939
135177572,1745953921,1745953922034,1034
135177573,1745953923,1745953923829,829
135177574,1745953925,1745953926800,1800
135177575,1745953927,1745953928089,1089
135177576,1745953929,1745953930588,1588
135177577,1745953931,1745953932227,1227
135177578,1745953933,1745953934275,1275
135177579,1745953935,1745953936036,1036
135177580,1745953937,1745953938065,1065
135177581,1745953939,1745953940214,1214
135177582,1745953941,1745953943076,2076
135177583,1745953943,1745953944105,1105
135177584,1745953945,1745953945852,852
135177585,1745953947,1745953947997,997
135177586,1745953949,1745953950045,1045
135177587,1745953951,1745953952707,1707
135177588,1745953953,1745953954550,1550
135177589,1745953955,1745953955883,883
135177590,1745953957,1745953958707,1707
135177591,1745953959,1745953960492,1492
135177592,1745953961,1745953962845,1845
135177593,1745953963,1745953964085,1085
135177594,1745953965,1745953966532,1532
135177595,1745953967,1745953967897,897
135177596,1745953969,1745953970424,1424
135177597,1745953971,1745953972691,1691
135177598,1745953973,1745953973773,773
135177599,1745953975,1745953976056,1056
135177600,1745953977,1745953978205,1205
135177601,1745953979,1745953980049,1049
135177602,1745953981,1745953982164,1164
135177603,1745953983,1745953984759,1759
135177604,1745953985,1745953986090,1090
135177605,1745953987,1745953988287,1287
135177606,1745953989,1745953990186,1186
135177607,1745953991,1745953992455,1455
135177608,1745953993,1745953993769,769
135177609,1745953995,1745953999402,4402
135177610,1745953997,1745953999710,2710
135177611,1745953999,1745954002077,3077
135177612,1745954001,1745954002365,1365
135177613,1745954003,1745954004268,1268
135177614,1745954005,1745954006776,1776
135177615,1745954007,1745954008515,1515
