Block Number,Block Timestamp (s),Receipt Time (ms),Delta (ms)
15205248,1745953607,1745953609214,2214
15205249,1745953608,1745953610011,2011
15205250,1745953609,1745953610158,1158
15205251,1745953610,1745953611437,1437
15205252,1745953611,1745953612409,1409
15205253,1745953612,1745953613212,1212
15205254,1745953613,1745953615033,2033
15205255,1745953614,1745953615842,1842
15205256,1745953615,1745953617058,2058
15205257,1745953616,1745953618007,2007
15205259,1745953618,1745953619496,1496
15205260,1745953619,1745953620856,1856
15205261,1745953620,1745953621842,1842
15205262,1745953621,1745953623162,2162
15205263,1745953622,1745953623314,1314
15205264,1745953623,1745953624843,1843
15205265,1745953624,1745953625701,1701
15205266,1745953625,1745953626859,1859
15205267,1745953626,1745953627806,1806
15205268,1745953627,1745953629121,2121
15205269,1745953628,1745953629878,1878
15205270,1745953629,1745953631191,2191
15205271,1745953630,1745953631476,1476
15205272,1745953631,1745953633058,2058
15205273,1745953632,1745953633319,1319
15205274,1745953633,1745953634202,1202
15205275,1745953634,1745953635395,1395
15205276,1745953635,1745953636069,1069
15205277,1745953636,1745953637517,1517
15205278,1745953637,1745953638704,1704
15205279,1745953638,1745953639434,1434
15205280,1745953639,1745953640598,1598
15205281,1745953640,1745953641497,1497
15205282,1745953641,1745953643354,2354
15205283,1745953642,1745953643508,1508
15205284,1745953643,1745953644707,1707
15205285,1745953644,1745953645482,1482
15205286,1745953645,1745953646696,1696
15205287,1745953646,1745953647432,1432
15205288,1745953647,1745953648411,1411
15205289,1745953648,1745953649884,1884
15205290,1745953649,1745953651220,2220
15205291,1745953650,1745953651382,1382
15205292,1745953651,1745953652500,1500
15205293,1745953652,1745953653889,1889
15205294,1745953653,1745953655018,2018
15205295,1745953654,1745953655931,1931
15205296,1745953655,1745953657485,2485
15205297,1745953656,1745953657793,1793
15205298,1745953657,1745953659140,2140
15205299,1745953658,1745953659815,1815
15205300,1745953659,1745953661377,2377
15205301,1745953660,1745953662237,2237
15205302,1745953661,1745953662708,1708
15205303,1745953662,1745953664015,2015
15205304,1745953663,1745953664347,1347
15205305,1745953664,1745953665466,1466
15205306,1745953665,1745953667060,2060
15205307,1745953666,1745953668001,2001
15205308,1745953667,1745953669155,2155
15205309,1745953668,1745953669963,1963
15205310,1745953669,1745953671112,2112
15205311,1745953670,1745953671791,1791
15205312,1745953671,1745953672897,1897
15205313,1745953672,1745953673699,1699
15205314,1745953673,1745953674800,1800
